test	bash_rc	rubash_rc	artifact	classification
alias	127	127	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/alias	needs-status-output-triage
arith-for	2	2	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/arith-for	needs-status-output-triage
arith	1	2	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/arith	needs-status-output-triage
array	1	2	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/array	needs-status-output-triage
assoc	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/assoc	needs-status-output-triage
braces	0	2	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/braces	needs-status-output-triage
builtins	2	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/builtins	needs-status-output-triage
case	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/case	needs-status-output-triage
casemod	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/casemod	needs-status-output-triage
complete	2	1	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/complete	needs-status-output-triage
comsub-eof	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/comsub-eof	needs-status-output-triage
comsub-posix	0	2	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/comsub-posix	needs-status-output-triage
comsub	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/comsub	needs-status-output-triage
comsub2	2	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/comsub2	needs-status-output-triage
cond	0	2	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/cond	needs-status-output-triage
coproc	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/coproc	needs-status-output-triage
cprint	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/cprint	needs-status-output-triage
dbg-support	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/dbg-support	needs-status-output-triage
dstack	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/dstack	needs-status-output-triage
dstack2	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/dstack2	needs-status-output-triage
errors	2	2	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/errors	needs-status-output-triage
exp	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/exp	needs-status-output-triage
exportfunc	127	2	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/exportfunc	needs-status-output-triage
extglob	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/extglob	needs-status-output-triage
func	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/func	needs-status-output-triage
getopts	0	124	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/getopts	needs-status-output-triage
glob	0	1	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/glob	needs-status-output-triage
globstar	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/globstar	needs-status-output-triage
heredoc	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/heredoc	needs-status-output-triage
histexp	2	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/histexp	needs-status-output-triage
history	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/history	needs-status-output-triage
ifs-posix	124	124	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/ifs-posix	needs-status-output-triage
ifs	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/ifs	needs-status-output-triage
intl	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/intl	needs-status-output-triage
invocation	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/invocation	needs-status-output-triage
iquote	127	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/iquote	needs-status-output-triage
jobs	124	124	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/jobs	needs-status-output-triage
lastpipe	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/lastpipe	needs-status-output-triage
mapfile	0	2	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/mapfile	needs-status-output-triage
more-exp	127	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/more-exp	needs-status-output-triage
nameref	127	127	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/nameref	needs-status-output-triage
new-exp	127	2	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/new-exp	needs-status-output-triage
nquote	0	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/nquote	needs-status-output-triage
nquote1	127	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/nquote1	needs-status-output-triage
nquote2	127	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/nquote2	needs-status-output-triage
nquote3	127	0	target/issue-suites/results/bash-ledger-refresh-b5e3f7b3/work/nquote3	needs-status-output-triage
