test	status	bash_rc	rubash_rc
alias	DIFF	127	127
appendop	PASS	0	0
arith-for	DIFF	2	2
arith	DIFF	1	2
array	DIFF	1	2
assoc	DIFF	0	0
attr	PASS	0	0
braces	DIFF	0	2
builtins	DIFF	2	0
case	DIFF	0	0
casemod	DIFF	0	0
complete	DIFF	2	1
comsub-eof	DIFF	0	0
comsub-posix	DIFF	0	2
comsub	DIFF	0	0
comsub2	DIFF	2	0
cond	DIFF	0	2
coproc	DIFF	0	0
cprint	DIFF	0	0
dbg-support	DIFF	0	0
dbg-support2	PASS	0	0
dstack	DIFF	0	0
dstack2	DIFF	0	0
dynvar	PASS	0	0
errors	DIFF	2	2
exp	DIFF	0	0
exportfunc	DIFF	127	2
extglob	DIFF	0	0
extglob2	PASS	0	0
extglob3	PASS	0	0
func	DIFF	0	0
getopts	DIFF	0	124
glob-bracket	PASS	2	2
glob	DIFF	0	1
globstar	DIFF	0	0
heredoc	DIFF	0	0
herestr	PASS	0	0
histexp	DIFF	2	0
history	DIFF	0	0
ifs-posix	DIFF	124	124
ifs	DIFF	0	0
intl	DIFF	0	0
invert	PASS	0	0
invocation	DIFF	0	0
iquote	DIFF	127	0
jobs	DIFF	124	124
lastpipe	DIFF	0	0
mapfile	DIFF	0	2
more-exp	DIFF	127	0
nameref	DIFF	127	127
new-exp	DIFF	127	2
nquote	DIFF	0	0
nquote1	DIFF	127	0
nquote2	DIFF	127	0
nquote3	DIFF	127	0
nquote4	DIFF	127	0
nquote5	DIFF	0	0
parser	PASS	2	2
posix2	DIFF	9	12
posixexp	DIFF	2	2
posixexp2	DIFF	0	2
posixpat	DIFF	0	0
posixpipe	DIFF	0	1
precedence	DIFF	0	0
printf	DIFF	2	124
procsub	DIFF	124	0
quote	DIFF	127	2
quotearray	DIFF	0	2
read	DIFF	124	0
redir	DIFF	124	0
rhs-exp	DIFF	0	0
rsh	DIFF	0	1
set-e	PASS	0	0
set-x	DIFF	0	0
shopt	DIFF	127	127
strip	PASS	0	0
test	DIFF	0	0
tilde	DIFF	0	0
tilde2	DIFF	0	0
trap	DIFF	2	124
type	PASS	127	127
varenv	DIFF	0	0
vredir	DIFF	0	0
